Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
37	12442864	12442864	12442864	12442864	12442864	12442864	12442864	1024
38	13847957	13847957	13847957	13847957	13847957	13847957	13847957	1024
39	15411719	15411719	15411719	15411719	15411719	15411719	15411719	1024
40	17152066	17152066	17152066	17152066	17152066	17152066	17152066	1024
41	19088939	19088939	19088939	19088939	19088939	19088939	19088939	1024
42	21244531	21244531	21244531	21244531	21244531	21244531	21244531	1024
43	23643540	23643540	23643540	23643540	23643540	23643540	23643540	1024
44	26313454	26313454	26313454	26313454	26313454	26313454	26313454	1024
45	29284865	29284865	29284865	29284865	29284865	29284865	29284865	1024
46	32591817	32591817	32591817	32591817	32591817	32591817	32591817	1024
47	36272203	36272203	36272203	36272203	36272203	36272203	36272203	1024
48	40368191	40368191	40368191	40368191	40368191	40368191	40368191	1024
49	44926713	44926713	44926713	44926713	44926713	44926713	44926713	1024
50	50000000	50000000	50000000	50000000	50000000	50000000	50000000	1024
51	55720327	55720327	55720327	55720327	55720327	55720327	55720327	1024
52	62095096	62095096	62095096	62095096	62095096	62095096	62095096	1024
53	69199181	69199181	69199181	69199181	69199181	69199181	69199181	1024
54	77116020	77116020	77116020	77116020	77116020	77116020	77116020	1024
55	85938596	85938596	85938596	85938596	85938596	85938596	85938596	1024
56	95770533	95770533	95770533	95770533	95770533	95770533	95770533	1024
57	106727308	106727308	106727308	106727308	106727308	106727308	106727308	1024
58	118937610	118937610	118937610	118937610	118937610	118937610	118937610	1024
59	132544850	132544850	132544850	132544850	132544850	132544850	132544850	1024
60	147708847	147708847	147708847	147708847	147708847	147708847	147708847	1024
61	164607704	164607704	164607704	164607704	164607704	164607704	164607704	1024
62	183439902	183439902	183439902	183439902	183439902	183439902	183439902	1024
63	204426625	204426625	204426625	204426625	204426625	204426625	204426625	1024
64	227814367	227814367	227814367	227814367	227814367	227814367	227814367	1024
65	253877820	253877820	253877820	253877820	253877820	253877820	253877820	1024
66	282923101	282923101	282923101	282923101	282923101	282923101	282923101	1024
67	315291353	315291353	315291353	315291353	315291353	315291353	315291353	1024
68	351362745	351362745	351362745	351362745	351362745	351362745	351362745	1024
69	391560939	391560939	391560939	391560939	391560939	391560939	391560939	1024
70	436358069	436358069	436358069	436358069	436358069	436358069	436358069	974
71	486280284	486280284	486280284	486280284	486280284	486280284	486280284	924
72	541913927	541913927	541913927	541913927	541913927	541913927	541913927	874
73	603912422	603912422	603912422	603912422	603912422	603912422	603912422	823
74	673003950	673003950	673003950	673003950	673003950	673003950	673003950	773
75	750000000	750000000	750000000	750000000	750000000	750000000	750000000	722
76	802792896	802792896	802792896	802792896	802792896	802792896	802792896	672
77	859301912	859301912	859301912	859301912	859301912	859301912	859301912	622
78	919788627	919788627	919788627	919788627	919788627	919788627	919788627	571
79	984533034	984533034	984533034	984533034	984533034	984533034	984533034	521
80	1053834833	1053834833	1053834833	1053834833	1053834833	1053834833	1053834833	470
81	1128014824	1128014824	1128014824	1128014824	1128014824	1128014824	1128014824	420
82	1207416383	1207416383	1207416383	1207416383	1207416383	1207416383	1207416383	370
83	1292407059	1292407059	1292407059	1292407059	1292407059	1292407059	1292407059	319
84	1383380274	1383380274	1383380274	1383380274	1383380274	1383380274	1383380274	269
85	1480757142	1480757142	1480757142	1480757142	1480757142	1480757142	1480757142	218
86	1584988419	1584988419	1584988419	1584988419	1584988419	1584988419	1584988419	168
87	1696556590	1696556590	1696556590	1696556590	1696556590	1696556590	1696556590	130
88	1815978104	1815978104	1815978104	1815978104	1815978104	1815978104	1815978104	105
89	1943805761	1943805761	1943805761	1943805761	1943805761	1943805761	1943805761	105
90	2080631275	2080631275	2080631275	2080631275	2080631275	2080631275	2080631275	80
91	2227088008	2227088008	2227088008	2227088008	2227088008	2227088008	2227088008	67
92	2383853909	2383853909	2383853909	2383853909	2383853909	2383853909	2383853909	55
93	2551654643	2551654643	2551654643	2551654643	2551654643	2551654643	2551654643	21
94	2731266961	2731266961	2731266961	2731266961	2731266961	2731266961	2731266961	16
95	2923522284	2923522284	2923522284	2923522284	2923522284	2923522284	2923522284	12
96	3129310560	3129310560	3129310560	3129310560	3129310560	3129310560	3129310560	8
97	3349584382	3349584382	3349584382	3349584382	3349584382	3349584382	3349584382	6
98	3585363395	3585363395	3585363395	3585363395	3585363395	3585363395	3585363395	5
99	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	3837739017	5
