index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Hellplague	0	1		1		30	22	lsd	Long Sword			5	5000	dred			invlsdu				manasteal		1	8	lifesteal		1	8	pois-min		12	72	pois-max		24	144	pois-len		38	225	dmg%		18	120	dmg-fire		6	113	fireskill		1	3																	0
Culwens Point	0	1		1		39	29	wsd	War Sword			5	5000	whit	whit						allskills		1	1	res-pois-len		13	75	balance2		5	30	swing2		5	30	att		15	90	dmg%		18	120																									0
Shadowfang	0	1		1		16	12	2hs	2-Handed Sword			5	5000	cgrn			inv2hsu				manasteal		2	14	res-cold		5	30	light		-2	-2	dmg-cold	150	3	45	dmg%		25	150	lifesteal		2	14																									0
Soulflay	0	1		1		26	19	clm	Claymore			5	5000	dgrn	dgrn						manasteal		4	15	lifesteal		1	6	dmg%		18	150	res-all		1	8	swing2		3	15																													0
Kinemils Awl	0	1		1		31	23	gis	Giant Sword			5	5000	dblu			invgisu				att		25	225	mana		5	30	fire-min		2	9	fire-max		5	60	dmg%		20	150	skill	102	2	9																									0
Blacktongue	0	1		1		35	26	bsw	Bastard Sword			5	5000	lgrn			invbswu				dmg-pois	150	48	288	noheal		1	1	att		13	75	res-pois		13	75	dmg%		13	90	*hp		-10	-10																									0
Ripsaw	0	1		1		35	26	flb	Flamberge			5	5000	cblu	cblu						openwounds		20	120	dmg-max		4	23	manasteal		2	9	dmg%		20	150																																	0
The Patriarch	0	1		1		39	29	gsd	Great Sword			5	5000	cred			invgsdu				red-dmg		3	5	red-mag		1	5	stupidity		1	1	gold%		25	150	dmg%		25	180	str		3	15																									0
Gull	0	1		1		6	4	dgr	Dagger			5	5000	lgry	lgry						dmg-min		1	1	dmg-max		4	23	mag%		25	150	mana		-5	-5							0	0																									0
The Diggler	0	1		1		15	11	dir	Dirk			5	5000	dgry	dgry						dex		3	15	dmg%		13	75	swing3		8	45	res-cold		6	38	res-fire		6	38	ignore-ac		1	1																									0
The Jade Tan Do	0	1		1		26	19	kri	Kris			5	5000	oran			invkrsu				att		25	225	nofreeze		1	1	dmg-pois	100	115	690	res-pois		24	143	res-pois-max		5	30																													0
Irices Shard	0	1		1		34	25	bld	Blade			5	5000	dblu	dblu						cast3		13	75	mana		13	75	att		14	83	res-all		3	15																																	0
The Dragon Chang	0	1		1		11	8	spr	Spear			5	5000	dpur	dpur						att		9	53	dmg-min		3	15	light		1	3	dmg-undead		25	150	dmg-fire		1	9																													0
Razortine	0	1		1		16	12	tri	Trident			5	5000	oran			invtriu				slow		6	38	reduce-ac		13	75	str		4	23	dex		2	12	swing2		8	45	dmg%		8	75																									0
Bloodthief	0	1		1		23	17	brn	Brandistock			5	5000	whit	whit						openwounds		9	53	str		3	15	lifesteal		2	18	hp		7	39	dmg%		13	105																													0
Lance of Yaggai	0	1		1		30	22	spt	Spetum			5	5000	lred	lred						thorns		2	12	ltng-min		1	1	ltng-max		15	90	res-all		4	23	swing2		10	60																													0
The Tannr Gorerod	0	1		1		36	27	pik	Pike			5	5000	lgry	lgry						fire-min		6	35	fire-max		14	81	res-fire-max		4	23	hp		8	45	att		15	90	light		1	5	res-fire		4	23	dmg%		20	150																	0
Dimoaks Hew	0	1		1		11	8	bar	Bardiche			5	5000	blac	blac						dex		4	23	dmg%		25	150	swing2		5	30	ac		-8	-8																																	0
Steelgoad	0	1		1		19	14	vou	Voulge			5	5000	cgrn	cgrn						howl		24	144	deadly		8	45	att		8	45	res-all		1	8	dmg%		15	120	dur		5	60																									0
Soul Harvest	0	1		1		26	19	scy	Scythe			5	5000	dgry			invscyu				openwounds		8	45	att		11	68	res-all		5	30	dmg%		13	135	manasteal		3	15	enr		1	8																									0
The Battlebranch	0	1		1		34	25	pax	Poleaxe			5	5000	lblu	lblu						swing3		8	45	dex		3	15	dmg%		13	105	att		13	150	lifesteal		2	11																													0
Woestave	0	1		1		38	28	hal	Halberd			5	5000	dblu	dblu						slow		13	75	openwounds		13	75	stupidity		1	5	dmg-ac		-50	-50	freeze		1	1	light		-3	-3	noheal		1	1	dmg%		5	60	*enr		-30	-30													0
The Grim Reaper	0	1		1		39	29	wsc	War Scythe			5	5000	lpur	lpur						deadly		25	150	noheal		1	1	manasteal		1	8	dmg%		5	30	dmg-min		4	23	*hp		-20	-20																									0
Bane Ash	0	1		1		7	5	sst	Short Staff			5	5000	lgrn	lgrn						fire-min		4	6	fire-max		2	9	res-fire		13	75	mana		8	45	swing2		5	30	dmg%		13	90	skill	36	1	8	skill	37	1	3																	0
Serpent Lord	0	1		1		12	9	lst	Long Staff			5	5000	cgrn	cgrn						dmg-pois	75	10	60	res-pois		13	75	light		-1	-1	mana		3	15	dmg%		8	60	manasteal		25	150	reduce-ac		13	75																					0
Lazarus Spire	0	1		1		24	18	cst	Gnarled Staff			5	5000	lgry			invcstu				res-ltng		19	113	red-dmg		1	8	enr		4	23	skill	53	1	1	skill	49	1	3	skill	42	1	5	regen-mana		11	65	dmg-ltng		1	42	sor		1	1													0
The Salamander	0	1		1		28	21	bst	Battle Staff			5	5000	dred	dred						dmg-fire		4	48	res-fire		8	45	skill	51	1	1	skill	47	1	3	skill	37	1	5	fireskill		1	3																									0
The Iron Jang Bong	0	1		1		38	28	wst	War Staff			5	5000	dyel	dyel						ac		8	45	cast3		5	30	dmg%		25	150	att%		13	75	skill	48	1	3	skill	46	1	3	skill	44	1	5	sor		1	3																	0
Pluckeye	0	1		1		10	7	sbw	Short Bow			5	5000	cblu	cblu						att		7	42	dmg%		25	150	hp		3	15	light		1	3	manasteal		1	5	mana-kill		1	3																									0
Witherstring	0	1		1		18	13	hbw	Hunter’s Bow			5	5000	lred	lred						swing3		8	45	dmg-min		1	1	dmg-max		1	5	att		13	75	magicarrow		1	5	dmg%		10	75																									0
Rimeraven	0	1		1		20	15	lbw	Long Bow			5	5000	dred	dred						att%		13	75	dex		1	5	explosivearrow		1	5	str		1	5	dmg%		15	105																													0
Piercerib	0	1		1		27	20	cbw	Composite Bow			5	5000	cred			invcbwu				res-all		3	15	deadly		8	45	att		15	90	dmg-undead		25	150	dmg%		10	90	swing2		13	75																									0
Pullspite	0	1		1		34	25	sbb	Short Battle Bow			5	5000	lgrn			invsbbu				dmg-ltng		1	45	str		2	12	att		7	42	pierce		6	38	res-ltng		6	38	dmg%		18	135																									0
Wizendraw	0	1		1		35	26	lbb	Long Battle Bow			5	5000	dgrn	dgrn						magicarrow		1	8	mana		8	45	swing2		5	30	res-cold		7	39	att		13	150	dmg%		18	120	enr		4	23	pierce-cold		5	53																	0
Hellclap	0	1		1		36	27	swb	Short War Bow			5	5000	cgrn			invswbu				swing1		3	15	fire-min		4	23	fire-max		8	75	att		13	113	res-fire		10	60	dex		3	18	dmg%		18	135	fireskill		1	1																	0
Blastbark	0	1		1		38	28	lwb	Long War Bow			5	5000	lyel	lyel						dmg%		18	195	str		1	8	ama		1	1	manasteal		1	5	skill	16	1	3																													0
Leadcrow	0	1		1		12	9	lxb	Light Crossbow			5	5000	dyel			invlxbu				dex		3	15	hp		3	15	dmg%		18	105	res-pois		8	45	deadly		6	38	att		10	60																									0
Ichorsting	0	1		1		24	18	mxb	Crossbow			5	5000	lgld			invmxbu				dmg-pois	75	26	153	dex		5	30	pierce		13	75	att		13	75	dmg%		13	75	swing2		5	30																									0
Hellcast	0	1		1		36	27	hxb	Heavy Crossbow			5	5000	dgld			invhxbu				explosivearrow		1	8	res-fire-max		4	23	res-fire		4	23	att		18	105	swing2		5	30	dmg%		18	120	dmg-fire		4	53																					0
Doomspittle	0	1		1		38	28	rxb	Repeating Crossbow			5	5000	lpur			invrxbu				ama		1	1	pierce		9	53	swing3		8	45	hp		4	23	dmg%		15	150																													0
War Bonnet	0	1		1		4	3	cap	Cap			5	5000	dpur			invcapu				hp		4	23	att		8	45	dmg%		8	45	mana		4	23	ac		4	21																													0
Tarnhelm	0	1		1		20	15	skp	Skull Cap			5	5000	oran	oran						gold%		19	113	mag%		6	75	allskills		1	1																																					0
Coif of Glory	0	1		1		19	14	hlm	Helm			5	5000	whit			invhlmu				light-thorns		2	11	stupidity		1	1	res-ltng		4	23	ac-miss		25	150	ac		3	15																													0
Duskdeep	0	1		1		23	17	fhl	Full Helm			5	5000	lgry			invfhlu				light		-2	-2	res-all		4	23	red-dmg		2	11	dmg-max		2	12	ac		3	30	ac%		8	75																									0
Wormskull	0	1		1		28	21	bhm	Bone Helm			5	5000	lgrn			invbhmu				nec		1	1	lifesteal		1	8	mana		3	15	res-pois		6	38	dmg-pois	200	26	153																													0
Howltusk	0	1		1		34	25	ghm	Great Helm			5	5000	dgry	dgry						red-mag		2	3	thorns		1	5	ac%		20	120	dmg-to-mana		9	53	knock		1	1	howl		8	50																									0
Undead Crown	0	1		1		39	29	crn	Crown			5	5000	blac	blac						lifesteal		1	8	ac		10	60	res-pois		13	75	half-freeze		1	1	ac%		8	90	dmg-undead		13	75	att-undead		13	150	skill	69	1	5																	0
The Face of Horror	0	1		1		27	20	msk	Mask			5	5000	lblu	lblu						howl		16	96	str		5	30	res-all		3	15	dmg-undead		13	75	ac		6	38																													0
Greyform	0	1		1		10	7	qui	Quilted Armor			5	5000	lgry	lgry						red-mag		3	5	res-cold		5	30	res-fire		5	30	dex		3	15	lifesteal		1	8	ac		5	30																									0
Blinkbats Form	0	1		1		16	12	lea	Leather Armor			5	5000	dred	dred						ac-miss		13	75	move2		3	15	ac		6	38	fire-min		1	5	fire-max		2	9	balance2		10	60																									0
The Centurion	0	1		1		19	14	hla	Hard Leather			5	5000	cred	cred						ac		8	45	att		13	75	red-dmg		1	3	hp		4	23	mana		4	23	stam		4	23	regen		1	8	stamdrain		6	38																	0
Twitchthroe	0	1		1		22	16	stu	Studded Leather			5	5000	lgrn	lgrn						swing2		5	30	dex		3	15	block		6	38	ac		6	38	str		3	15	balance2		5	30																									0
Darkglow	0	1		1		19	14	rng	Ring Mail			5	5000	dgrn	dgrn						att		5	30	res-all-max		1	8	light		1	5	ac-hth		13	75	res-all		3	15	ac%		18	150																									0
Hawkmail	0	1		1		20	15	scl	Scale Mail			5	5000	cgrn	cgrn						ac%		20	150	res-cold-max		4	23	res-cold		4	23	nofreeze		1	1	move2		3	15																													0
Sparking Mail	0	1		1		23	17	chn	Chain Mail			5	5000	lyel	lyel						ac%		19	128	dmg-ltng		1	30	light-thorns		3	21	res-ltng		8	45																																	0
Venomsward	0	1		1		27	20	brs	Breast Plate			5	5000	dyel	dyel						res-pois-max		4	23	res-pois-len		13	75	res-pois		23	135	light		1	3	ac%		15	150																													0
Iceblink	0	1		1		30	22	spl	Splint Mail			5	5000	lgld	lgld						freeze		1	1	res-cold		8	45	light		1	6	red-mag		1	1	ac%		18	120																													0
Boneflesh	0	1		1		35	26	plt	Plate Mail			5	5000	dgld	dgld						lifesteal		1	8	ac%		25	180	att		9	53	openwounds		6	38																																	0
Rockfleece	0	1		1		38	28	fld	Field Plate			5	5000	dgry	dgry						ease		-10	-10	ac%		25	195	red-dmg%		3	15	red-dmg		1	8	str		1	8																													0
Rattlecage	0	1		1		39	29	gth	Gothic Plate			5	5000	dpur	dpur						howl		13	78	att		11	68	crush		6	38	ac		50	300																																	0
Goldskin	0	1		1		38	28	ful	Full Plate Mail			5	5000	oran			invfulu				ac%		30	225	res-all		9	53	thorns		3	15	light		1	3	gold%		25	150																													0
Victors Silk	0	1		1		38	28	aar	AncientArmor			5	5000	dblu			invaaru				manasteal		1	8	allskills		1	1	light		1	3	ac%		25	180																																	0
Heavenly Garb	0	1		1		39	29	ltp	Light Plate			5	5000	cblu	cblu						ac%		25	150	res-all		3	15	regen-mana		6	38	enr		4	23	dmg-undead		13	75	att-undead		25	150																									0
Pelta Lunata	0	1		1		3	2	buc	Buckler			5	5000	whit			invbucu				ac		8	45	vit		3	15	str		1	3	enr		3	15	ac%		8	60	block		5	30	block2		10	60	dur		2	18																	0
Umbral Disk	0	1		1		12	9	sml	Small Shield			5	5000	lgry			invsmlu				stupidity		1	1	dex		3	15	ac		8	45	hp		5	30	light		-2	-2	ac%		10	75	block		8	45	dur		3	23																	0
Stormguild	0	1		1		18	13	lrg	Large Shield			5	5000	dgry			invlrgu				red-mag		1	1	res-ltng		6	38	ac		8	45	dmg-ltng		1	9	ac%		13	90	block		8	45	light-thorns		1	5	dur		3	23																	0
Wall of the Eyeless	0	1		1		27	20	bsh	Bone Shield			5	5000	lgld			invbshu				mana-kill		1	8	manasteal		1	5	cast2		5	30	res-pois		5	30	ac%		8	60	ac		3	15																									0
Swordback Hold	0	1		1		20	15	spk	Spiked Shield			5	5000	lred			invspku				thorns		1	8	block		5	30	openwounds		13	75	bloody		1	8	ac%		8	90	thorns		1	8	ac		3	15																					0
Steelclash	0	1		1		23	17	kit	Kite Shield			5	5000	blac			invkitu				block		6	38	pal		1	1	red-dmg		1	5	light		1	5	ac%		15	150	block2		5	30	res-all		4	23	ac		5	30	dur		4	30													0
Bverrit Keep	0	1		1		26	19	tow	Tower Shield			5	5000	lblu			invtowu				ac		8	45	res-fire		19	113	str		1	8	red-mag		1	8	ac%		20	180	block		3	15	dur		20	150																					0
The Ward	0	1		1		35	26	gts	Gothic Shield			5	5000	dblu			invgtsu				ac		10	60	red-mag		1	3	str		3	15	block		3	15	ac%		25	150	res-all		8	75																									0
The Hand of Broc	0	1		1		7	5	lgl	Gloves			5	5000	cblu	cblu						manasteal		3	5	lifesteal		1	5	res-pois		3	15	mana		5	30	ac		3	15	ac%		3	30																									0
Bloodfist	0	1		1		12	9	vgl	Heavy Gloves			5	5000	oran	oran						dmg-min		1	8	hp		10	60	balance2		8	45	ac		3	15	ac%		3	30	swing2		3	15																									0
Chance Guards	0	1		1		20	15	mgl	Bracers			5	5000	lred	lred						gold%		50	300	mag%		6	60	att		6	38	ac		4	23	light		1	3	ac%		5	45																									0
Magefist	0	1		1		31	23	tgl	Light Gauntlets			5	5000	lgry	lgry						cast3		5	30	regen-mana		6	38	fireskill		1	1	dmg-fire		1	9	ac		3	15	ac%		5	45																									0
Frostburn	0	1		1		39	29	hgl	Gauntlets			5	5000	dred	dred						ac		8	45	dmg%		1	8	mana%		10	60	dmg-cold	50	1	9	ac%		3	30																													0
Hotspur	0	1		1		7	5	lbt	Leather Boots			5	5000	cred	cred						res-fire-max		4	23	hp		4	23	dmg-fire		1	9	ac		2	9	res-fire		11	68	ac%		3	30																									0
Gorefoot	0	1		1		12	9	vbt	Heavy Boots			5	5000	dblu	dblu						bloody		3	8	move2		5	30	manasteal		1	3	thorns		1	3	ac		3	18	ac%		5	45	skill	132	1	3																					0
Treads of Cthon	0	1		1		20	15	mbt	Chain Boots			5	5000	lgrn	lgrn						move2		8	45	ac-miss		13	75	stamdrain		13	75	hp		3	15	ac		3	18	ac%		8	60																									0
Goblin Toe	0	1		1		30	22	tbt	Light Plate Boots			5	5000	dgry	dgry						crush		6	38	red-dmg		1	1	red-mag		1	1	ac		4	23	light		-1	-1	ac%		13	90																									0
Tearhaunch	0	1		1		39	29	hbt	Plate Boots			5	5000	dgrn	dgrn						ac		9	53	str		1	8	dex		1	8	move2		5	30	res-all		3	15	ac%		15	120	skill	115	1	3																					0
Lenyms Cord	0	1		1		10	7	lbl	Sash			5	5000	cgrn	cgrn						mana		4	23	regen-mana		8	45	res-all		1	8	light		1	1																																	0
Snakecord	0	1		1		16	12	vbl	Light Belt			5	5000	blac	blac						dmg-pois	75	10	60	res-pois		6	38	ac		3	15	ac%		5	45	regen		1	8	res-pois-len		13	75																									0
Nightsmoke	0	1		1		27	20	mbl	Belt			5	5000	lyel	lyel						res-all		3	15	dmg-to-mana		13	75	mana		5	30	red-dmg		1	3	ac		4	23	ac%		8	75																									0
Goldwrap	0	1		1		36	27	tbl	Heavy Belt			5	5000	lblu	lblu						mag%		8	45	light		1	3	ac		6	38	swing2		3	15	ac%		10	90	gold%		13	120																									0
Bladebuckle	0	1		1		39	29	hbl	Girdle			5	5000	dyel	dyel						thorns		2	12	ac		8	45	red-dmg		1	5	str		1	8	dex		3	15	ac%		20	150	balance2		8	45																					0
Nokozan Relic	0	1		20		14	10	amu	Amulet			5	5000	lgld							dmg-fire		3	9	res-fire-max		3	15	res-fire		13	75	light		1	5	balance2		5	30																													0
The Eye of Etlich	0	1		5		20	15	amu	Amulet			5	5000	dgld							ac-miss		3	60	light		1	8	allskills		1	1	lifesteal		1	11	cold-min		1	3	cold-max		1	8	cold-len		13	375																					0
The Mahim-Oak Curio	0	1		10		34	25	amu	Amulet			5	5000	lpur							dex		3	15	str		3	15	enr		3	15	vit		3	15	ac		3	15	att%		3	15	res-all		3	15	ac%		3	15																	0
Nagelring	0	1		15		10	7	rin	Ring			5	5000	dpur							red-mag		3	5	thorns		1	5	att		13	113	mag%		4	45																																	0
Manald Heal	0	1		15		20	15	rin	Ring			5	5000	oran							manasteal		4	11	regen		1	12	hp		5	30	regen-mana		5	30																																	0
The Stone of Jordan	0	1		1		39	29	rin	Ring			5	5000	whit							mana		5	30	mana%		6	38	ltng-min		1	1	allskills		1	1	ltng-max		3	18																													0
Amulet of the Viper	0	1		1		0	0	vip	Amulet			5	5000	lgry							mana		3	15	res-pois		6	38	hp		3	15			0	0			0	0			0	0			0	0																					0
Staff of Kings	0	1		1		0	0	msf	Staff			5	5000	dgry							res-all		3	15	swing3		13	75			0	0			0	0			0	0			0	0			0	0																					0
Horadric Staff	0	1		1		0	0	hst	Staff			5	5000	blac							mana		3	15	res-pois		6	38	hp		3	15	res-all		3	15	swing3		13	75			0	0			0	0																					0
Hell Forge Hammer	0	1		1		0	0	hfh	Hammer			5	5000	cred							fire-min		1	8	fire-max		5	30	res-fire		10	60	ac		9	53			0	0			0	0			0	0																					0
KhalimFlail	0	1		1		0	0	qf1	Flail			5	5000	dblu							ltng-min		1	1	ltng-max		5	30	swing3		13	75	att		10	60			0	0			0	0			0	0																					0
SuperKhalimFlail	0	1		1		0	0	qf2	Flail			5	5000	dblu							ltng-min		1	1	ltng-max		10	60	swing3		13	75	att		10	60	manasteal		2	9	lifesteal		2	9			0	0																					0
Expansion																																																																					0
Coldkill	100	1		1		44	36	9ha	Hatchet			5	5000	cblu	cblu		invhaxu				dmg-cold	50	10	60	res-cold		4	23	res-cold-max		4	23	swing3		8	45	hit-skill	45	3	15	gethit-skill	44	3	8	dmg%		38	285																					0
Butcher's Pupil	100	1		1		47	39	9ax	Cleaver			5	5000	cblu	cblu		invaxeu				deadly		9	53	openwounds		6	38	dmg%		38	300	indestruct		1	1	swing3		8	45	dmg-norm		8	75																									0
Islestrike	100	1		1		51	43	92a	Twin Axe			5	5000								dru		2	3	str		3	15	dex		3	15	vit		3	15	enr		3	15	ac-miss		13	75	crush		6	38	dmg%		43	285	skill	233	1	1	skill	248	1	1									0
Pompe's Wrath	100	1		1		53	45	9mp	Crowbill			5	5000	cred	cred		invmpiu				hit-skill	244	4	12	slow		13	75	dmg-fire		9	225	knock		1	1	dmg%		35	255																													0
Guardian Naga	100	1		1		56	48	9wa	Naga			5	5000								hit-skill	92	1	12	thorns		4	23	res-pois		8	45	dmg%		38	270	dmg-pois	250	64	384	dmg-max		5	30																									0
Warlord's Trust	100	1		1		43	35	9la	Military Axe			5	5000	whit	whit						ac		19	113	regen		5	30	vit/lvl	4			res-all		3	15	rep-dur	25			dmg%		44	263																									0
Spellsteel	100	1		1		47	39	9ba	Bearded Axe			5	5000	whit	whit						ease		-60	-60	mana		25	150	red-mag		3	23	cast1		3	15	dmg%		41	248	regen-mana		6	38	charged	54	5	1	charged	87	8	5	charged	101	25	15	charged	225	15	18									0
Stormrider	100	1		1		49	41	9bt	Tabar			5	5000	lred	lred		inv9btu				hit-skill	53	1	15	hit-skill	38	3	0	dmg-ltng		1	300	dmg-norm		9	113	dmg%		25	150	dur		13	75	light-thorns		4	23	gethit-skill	38	4	8																	0
Boneslayer Blade	100	1		1		50	42	9ga	Gothic Axe			5	5000				invgaxu				att-und/lvl	10			dmg-und/lvl	20			str		2	12	swing2		5	30	att%		9	53	dmg%		45	330	charged	101	50	30	gethit-skill	101	13	0																	0
The Minataur	100	1		1		53	45	9gi	Ancient Axe			5	5000				inv9giu				stupidity		2	3	half-freeze		1	1	str		4	30	slow		13	75	crush		8	45	dmg-norm		5	45	dmg%		35	300																					0
Suicide Branch	100	1		1		41	33	9wn	Burnt Wand			5	5000								thorns		6	38	cast2		13	75	res-all		3	15	mana%		3	15	hp		10	60	allskills		1	1																									0
Carin Shard	100	1		1		43	35	9yw	Petrified Wand			5	5000	cblu	cblu						hp/lvl	10			cast2		3	15	mana/lvl	10			balance2		8	45	regen		1	8	nec		1	1	skilltab	8	1	3																					0
Arm of King Leoric	100	1		1		44	36	9bw	Tomb Wand			5	5000				invbwnu				skilltab	8	2	3	gethit-skill	93	1	15	mana/lvl	10			gethit-skill	88	3	3	cast1		3	15	skilltab	7	1	3	skill	77	1	3	skill	80	1	3	skill	69	1	5	skill	70	1	5									0
